,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
ALMENDRAS (IMPORTADAS) *,,,,,,2026-03-31,
PRODUCTO,PRESENTACI├ôN,,REMITO,,,PX (IVA INCLUIDO),
,,,KG,BULTO,,KG,BULTO
MIX FRUTOS SECOS S/ MAN├ì X 10 KG,CAJA X 10 KG,,"$ 13.768,02","$ 137.680,16",,"$ 16.602,61","$ 166.026,07"
MIX CARIBE SIN MANI X 10 KG,CAJA X 10 KG,,"$ 12.665,70","$ 126.656,99",,"$ 15.273,34","$ 152.733,43"
HAPPY MIX X 10 KG (CON VAC├ìO),CAJA X 10 KG,,"$ 9.377,86","$ 93.778,61",,"$ 11.308,60","$ 113.085,97"
MIX SALADO X 10 KG (CON VAC├ìO),CAJA X 10 KG,,"$ 7.790,86","$ 77.908,63",,"$ 9.394,86","$ 93.948,64"
MIX ENERG├ëTICO X 10 KG,CAJA X 10 KG,,"$ 8.497,30","$ 84.972,96",,"$ 10.246,74","$ 102.467,39"
,,,,,,,
"Mix Premium (nuez mariposa extra light, avellana, casta├▒a y almendra)",,,,,,,
"Mix Frutos Secos SIN man├¡ (nuez mariposa extra light, casta├▒as de caj├║, almendras, pasas rubias y morenas)",,,,,,,
"Mix Caribe SIN man├¡ (nuez extra, almendras, casata├▒as de caj├║, pasas rubias y morenas, chips de bananas, frutas deshidroazucaradas,)",,,,,,,
"Mix Salado (man├¡ tostado salado, man├¡ sin sal, ma├¡z frito salado, semillas de girasol, semillas de calabaza, almendra)",,,,,,,
"Happy Mix (nuez mariposa extra light, nuez cuartos, pasas uva rubia, pasas uva morena, man├¡ sin sal y almendras)",,,,,,,
"Mix Energ├®tico (nuez mariposa extra light, chips de banana, cubos de papaya, almendra, man├¡ y pasas morena y rubia)",,,,,,,
Recetas sujetas a variaciones por disponiblibilidad de stock,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"NUEZ, ALMENDRA Y HARINAS (SIN T.A.C.C.) - CAJA 9 KG",,,,,,,
PRODUCTO,PRESENTACI├ôN,,REMITO,,,PX (IVA INCLUIDO),
,,,UNIDAD,BULTO,,UNIDAD,BULTO
NUEZ EXTRA LIGHT X 9 KG,10 BOLSAS X 900 GR,,"$ 20.122,73","$ 201.227,31",,"$ 24.750,96","$ 247.509,59"
